2020-07-20-11-12: epoch: 1 |tot 14.915275 | hm 2.230919 | wh 11.592493 | id_ 3.652046 | reg 0.265711 | tracking 0.837764 | time 13.450000 | 
2020-07-20-11-25: epoch: 2 |tot 9.302755 | hm 1.756723 | wh 7.391861 | id_ 2.171232 | reg 0.224760 | tracking 0.852373 | time 13.400000 | 
2020-07-20-11-39: epoch: 3 |tot 7.008286 | hm 1.521485 | wh 5.858463 | id_ 1.655181 | reg 0.212664 | tracking 0.823124 | time 13.383333 | 
2020-07-20-11-52: epoch: 4 |tot 6.012767 | hm 1.475707 | wh 5.617682 | id_ 1.345838 | reg 0.203378 | tracking 0.863726 | time 13.383333 | 
2020-07-20-12-05: epoch: 5 |tot 4.934986 | hm 1.377414 | wh 4.840581 | id_ 1.091236 | reg 0.200508 | tracking 0.810088 | time 13.383333 | 
2020-07-20-12-19: epoch: 6 |tot 4.308344 | hm 1.335582 | wh 4.719935 | id_ 0.909035 | reg 0.197851 | tracking 0.841072 | time 13.366667 | 
2020-07-20-12-32: epoch: 7 |tot 3.841862 | hm 1.315459 | wh 4.291624 | id_ 0.848690 | reg 0.195961 | tracking 0.864681 | time 13.383333 | 
2020-07-20-12-46: epoch: 8 |tot 3.301203 | hm 1.243030 | wh 4.070752 | id_ 0.740392 | reg 0.188382 | tracking 0.821890 | time 13.383333 | 
2020-07-20-12-59: epoch: 9 |tot 2.961787 | hm 1.230604 | wh 3.811752 | id_ 0.663167 | reg 0.190436 | tracking 0.881941 | time 13.383333 | 
2020-07-20-13-12: epoch: 10 |tot 2.717206 | hm 1.219334 | wh 3.689217 | id_ 0.642830 | reg 0.185159 | tracking 0.867557 | time 13.400000 | 
2020-07-20-13-26: epoch: 11 |tot 2.622219 | hm 1.296373 | wh 3.575877 | id_ 0.598750 | reg 0.188588 | tracking 0.855076 | time 13.400000 | 
2020-07-20-13-39: epoch: 12 |tot 2.038190 | hm 1.103503 | wh 3.115516 | id_ 0.528267 | reg 0.182104 | tracking 0.808911 | time 13.400000 | 
2020-07-20-13-53: epoch: 13 |tot 1.856018 | hm 1.086036 | wh 3.146431 | id_ 0.478207 | reg 0.177177 | tracking 0.818109 | time 13.383333 | 
2020-07-20-14-06: epoch: 14 |tot 1.873195 | hm 1.183276 | wh 3.062613 | id_ 0.476778 | reg 0.180734 | tracking 0.820861 | time 13.383333 | 
2020-07-20-14-20: epoch: 15 |tot 1.691271 | hm 1.142023 | wh 2.988944 | id_ 0.464090 | reg 0.178658 | tracking 0.847870 | time 13.383333 | 
2020-07-20-14-33: epoch: 16 |tot 1.380914 | hm 1.018683 | wh 2.886168 | id_ 0.401742 | reg 0.174967 | tracking 0.857898 | time 13.400000 | 
2020-07-20-14-46: epoch: 17 |tot 1.361480 | hm 1.053535 | wh 2.899449 | id_ 0.407521 | reg 0.179900 | tracking 0.855272 | time 13.400000 | 
2020-07-20-15-00: epoch: 18 |tot 1.206500 | hm 1.025524 | wh 2.691058 | id_ 0.375121 | reg 0.177823 | tracking 0.852229 | time 13.416667 | 
2020-07-20-15-13: epoch: 19 |tot 1.153919 | hm 1.071902 | wh 2.785963 | id_ 0.335193 | reg 0.171790 | tracking 0.812326 | time 13.400000 | 
2020-07-20-15-27: epoch: 20 |tot 1.051398 | hm 1.021306 | wh 2.760332 | id_ 0.337966 | reg 0.176636 | tracking 0.817452 | time 13.416667 | 
2020-07-20-15-40: epoch: 21 |tot 0.902469 | hm 0.972449 | wh 2.439940 | id_ 0.315499 | reg 0.173674 | tracking 0.840631 | time 13.416667 | 
2020-07-20-15-54: epoch: 22 |tot 0.955547 | hm 1.031593 | wh 2.715425 | id_ 0.336199 | reg 0.173417 | tracking 0.855419 | time 13.416667 | 
2020-07-20-16-07: epoch: 23 |tot 0.746961 | hm 0.939768 | wh 2.477212 | id_ 0.272746 | reg 0.169542 | tracking 0.844161 | time 13.433333 | 
2020-07-20-16-20: epoch: 24 |tot 0.725855 | hm 0.970315 | wh 2.496239 | id_ 0.260145 | reg 0.172816 | tracking 0.807324 | time 13.416667 | 
2020-07-20-16-34: epoch: 25 |tot 0.633189 | hm 0.920497 | wh 2.391787 | id_ 0.244809 | reg 0.175295 | tracking 0.813965 | time 13.416667 | 
2020-07-20-16-47: epoch: 26 |tot 0.804070 | hm 1.079324 | wh 2.889252 | id_ 0.288709 | reg 0.176244 | tracking 0.829974 | time 13.416667 | 
2020-07-20-17-01: epoch: 27 |tot 0.513228 | hm 0.911440 | wh 2.369525 | id_ 0.201359 | reg 0.170457 | tracking 0.807381 | time 13.416667 | 
2020-07-20-17-14: epoch: 28 |tot 0.604452 | hm 0.998698 | wh 2.461885 | id_ 0.241286 | reg 0.170872 | tracking 0.835830 | time 13.433333 | 
2020-07-20-17-28: epoch: 29 |tot 0.568720 | hm 0.976719 | wh 2.396163 | id_ 0.242278 | reg 0.173096 | tracking 0.794640 | time 13.433333 | 
2020-07-20-17-41: epoch: 30 |tot 0.502599 | hm 0.938352 | wh 2.539801 | id_ 0.219318 | reg 0.168753 | tracking 0.809666 | time 13.450000 | 
2020-07-20-17-55: epoch: 31 |tot 0.396540 | hm 0.909326 | wh 2.402047 | id_ 0.174685 | reg 0.166556 | tracking 0.854065 | time 13.433333 | 
2020-07-20-18-08: epoch: 32 |tot 0.559052 | hm 1.011397 | wh 2.490346 | id_ 0.248464 | reg 0.178984 | tracking 0.834286 | time 13.433333 | 
2020-07-20-18-22: epoch: 33 |tot 0.405836 | hm 0.956272 | wh 2.397537 | id_ 0.181440 | reg 0.171821 | tracking 0.812824 | time 13.433333 | 
2020-07-20-18-35: epoch: 34 |tot 0.407755 | hm 0.944841 | wh 2.397227 | id_ 0.194006 | reg 0.172209 | tracking 0.829724 | time 13.433333 | 
2020-07-20-18-48: epoch: 35 |tot 0.474293 | hm 1.044017 | wh 2.654357 | id_ 0.202596 | reg 0.178348 | tracking 0.860967 | time 13.433333 | 
2020-07-20-19-02: epoch: 36 |tot 0.489585 | hm 1.053883 | wh 2.603984 | id_ 0.218249 | reg 0.173690 | tracking 0.834502 | time 13.433333 | 
2020-07-20-19-15: epoch: 37 |tot 0.449265 | hm 1.023530 | wh 2.609942 | id_ 0.206558 | reg 0.175676 | tracking 0.816129 | time 13.433333 | 
2020-07-20-19-29: epoch: 38 |tot 0.408770 | hm 0.972056 | wh 2.575263 | id_ 0.201612 | reg 0.171847 | tracking 0.838388 | time 13.416667 | 
2020-07-20-19-42: epoch: 39 |tot 0.361303 | hm 0.988331 | wh 2.536783 | id_ 0.174016 | reg 0.174375 | tracking 0.818558 | time 13.416667 | 
2020-07-20-19-56: epoch: 40 |tot 0.401809 | hm 0.983667 | wh 2.540675 | id_ 0.199668 | reg 0.178931 | tracking 0.817701 | time 13.433333 | 
2020-07-20-20-09: epoch: 41 |tot 0.335307 | hm 0.990963 | wh 2.539652 | id_ 0.165689 | reg 0.173076 | tracking 0.840376 | time 13.433333 | 
2020-07-20-20-23: epoch: 42 |tot 0.290298 | hm 0.958736 | wh 2.465214 | id_ 0.154168 | reg 0.171657 | tracking 0.814594 | time 13.433333 | 
2020-07-20-20-36: epoch: 43 |tot 0.255816 | hm 0.942214 | wh 2.301733 | id_ 0.147159 | reg 0.169645 | tracking 0.822459 | time 13.433333 | 
2020-07-20-20-50: epoch: 44 |tot 0.369085 | hm 0.988347 | wh 2.499282 | id_ 0.191559 | reg 0.179992 | tracking 0.865129 | time 13.433333 | 
2020-07-20-21-03: epoch: 45 |tot 0.288273 | hm 1.017912 | wh 2.540737 | id_ 0.147968 | reg 0.174849 | tracking 0.815394 | time 13.433333 | 
2020-07-20-21-16: epoch: 46 |tot 0.211186 | hm 0.964460 | wh 2.282803 | id_ 0.129278 | reg 0.172469 | tracking 0.851256 | time 13.433333 | 
2020-07-20-21-30: epoch: 47 |tot 0.277240 | hm 1.003589 | wh 2.562044 | id_ 0.150403 | reg 0.175611 | tracking 0.783217 | time 13.416667 | 
2020-07-20-21-43: epoch: 48 |tot 0.218044 | hm 0.938073 | wh 2.391645 | id_ 0.140812 | reg 0.169603 | tracking 0.811472 | time 13.416667 | 
2020-07-20-21-57: epoch: 49 |tot 0.259927 | hm 0.956022 | wh 2.418880 | id_ 0.157185 | reg 0.172277 | tracking 0.819514 | time 13.416667 | 
2020-07-20-22-10: epoch: 50 |tot 0.316973 | hm 1.004488 | wh 2.948254 | id_ 0.165884 | reg 0.175690 | tracking 0.804704 | time 13.433333 | 
2020-07-20-22-24: epoch: 51 |tot 0.354701 | hm 1.086503 | wh 2.719405 | id_ 0.173017 | reg 0.179601 | tracking 0.821551 | time 13.433333 | 
2020-07-20-22-37: epoch: 52 |tot 0.248191 | hm 0.972692 | wh 2.498579 | id_ 0.150698 | reg 0.172427 | tracking 0.813092 | time 13.433333 | 
2020-07-20-22-51: epoch: 53 |tot 0.248363 | hm 0.989492 | wh 2.554464 | id_ 0.148028 | reg 0.173793 | tracking 0.832972 | time 13.433333 | 
2020-07-20-23-04: epoch: 54 |tot 0.161443 | hm 0.971516 | wh 2.399010 | id_ 0.118504 | reg 0.171747 | tracking 0.825660 | time 13.450000 | 
2020-07-20-23-17: epoch: 55 |tot 0.218958 | hm 0.948666 | wh 2.340561 | id_ 0.148162 | reg 0.169429 | tracking 0.802980 | time 13.450000 | 
2020-07-20-23-31: epoch: 56 |tot 0.203257 | hm 0.984215 | wh 2.508929 | id_ 0.134904 | reg 0.170607 | tracking 0.864666 | time 13.450000 | 
2020-07-20-23-44: epoch: 57 |tot 0.193343 | hm 0.959317 | wh 2.421925 | id_ 0.136738 | reg 0.171486 | tracking 0.826445 | time 13.450000 | 
2020-07-20-23-58: epoch: 58 |tot 0.099937 | hm 0.934654 | wh 2.330856 | id_ 0.106701 | reg 0.170448 | tracking 0.840698 | time 13.433333 | 
2020-07-21-00-11: epoch: 59 |tot 0.110141 | hm 0.950739 | wh 2.407340 | id_ 0.109273 | reg 0.170679 | tracking 0.812986 | time 13.450000 | 
2020-07-21-00-25: epoch: 60 |tot 0.285488 | hm 1.013288 | wh 2.775854 | id_ 0.161088 | reg 0.178351 | tracking 0.844792 | time 13.433333 | 
2020-07-21-00-38: epoch: 61 |tot 0.038959 | hm 0.902228 | wh 2.157428 | id_ 0.095657 | reg 0.161114 | tracking 0.871609 | time 13.433333 | 
2020-07-21-00-52: epoch: 62 |tot 0.003374 | hm 0.911737 | wh 2.301349 | id_ 0.079685 | reg 0.160580 | tracking 0.879129 | time 13.433333 | 
2020-07-21-01-05: epoch: 63 |tot -0.058518 | hm 0.886795 | wh 2.126770 | id_ 0.062981 | reg 0.160759 | tracking 0.803939 | time 13.433333 | 
2020-07-21-01-19: epoch: 64 |tot -0.106413 | hm 0.840581 | wh 1.936545 | id_ 0.055296 | reg 0.156410 | tracking 0.816453 | time 13.433333 | 
2020-07-21-01-32: epoch: 65 |tot -0.082843 | hm 0.835018 | wh 1.916782 | id_ 0.065569 | reg 0.156167 | tracking 0.821404 | time 13.383333 | 
2020-07-21-01-45: epoch: 66 |tot -0.120667 | hm 0.797966 | wh 1.876616 | id_ 0.058262 | reg 0.153565 | tracking 0.810448 | time 13.366667 | 
